time,xte
0.0000,0.002311
0.1000,0.013425
0.2000,0.016263
0.3000,0.015519
0.4000,0.020015
0.5000,0.020380
0.6000,0.005934
0.7000,-0.002163
0.8000,-0.004580
0.9000,-0.000732
1.0000,-0.000355
1.1000,-0.010567
1.2000,0.000819
1.3000,-0.004079
1.4000,-0.005517
1.5000,0.009240
1.6000,0.001576
1.7000,0.004308
1.8000,0.009038
1.9000,-0.002578
2.0000,-0.001157
2.1000,-0.006590
2.2000,-0.004514
2.3000,-0.008213
2.4000,0.002077
2.5000,0.009588
2.6000,-0.003247
2.7000,0.006212
2.8000,-0.000896
2.9000,-0.001636
3.0000,-0.004189
3.1000,-0.001572
3.2000,0.006677
3.3000,0.004701
3.4000,0.008159
3.5000,0.006069
3.6000,0.004239
3.7000,0.001017
3.8000,0.014551
3.9000,0.002064
4.0000,-0.001667
4.1000,-0.001954
4.2000,-0.009160
4.3000,0.000917
4.4000,0.006741
4.5000,-0.000832
4.6000,0.010335
4.7000,0.003863
4.8000,-0.009952
4.9000,0.000112
5.0000,-0.004036
5.1000,-0.007485
5.2000,0.011475
5.3000,0.006956
5.4000,0.011013
5.5000,-0.008907
5.6000,-0.002301
5.7000,0.001931
5.8000,0.008452
5.9000,-0.004479
6.0000,0.000254
6.1000,0.001327
6.2000,0.000726
6.3000,0.005911
6.4000,-0.005230
6.5000,0.000979
6.6000,-0.000947
6.7000,-0.010475
6.8000,0.000906
6.9000,-0.001195
7.0000,-0.005569
7.1000,0.007280
7.2000,0.003064
7.3000,0.005845
7.4000,0.012760
7.5000,0.014312
7.6000,-0.000209
7.7000,-0.005032
7.8000,-0.016441
7.9000,0.014958
8.0000,0.034749
8.1000,0.021354
8.2000,0.019274
8.3000,-0.006135
8.4000,0.026347
8.5000,0.040300
8.6000,0.037304
8.7000,0.029544
8.8000,0.020125
8.9000,0.020222
9.0000,0.027264
9.1000,0.020934
9.2000,0.023651
9.3000,0.012709
9.4000,-0.008046
9.5000,-0.002269
9.6000,0.002638
9.7000,0.006650
9.8000,-0.001973
9.9000,-0.001541
10.0000,0.002273
10.1000,0.008000
10.2000,0.000419
10.3000,0.000157
10.4000,-0.001455
10.5000,0.014166
10.6000,0.017221
10.7000,0.008215
10.8000,-0.002851
10.9000,0.009180
11.0000,0.002243
11.1000,-0.003696
11.2000,-0.015096
11.3000,-0.011842
11.4000,-0.006496
11.5000,0.002462
11.6000,0.003674
11.7000,0.011662
11.8000,0.012068
11.9000,0.008210
12.0000,0.005660
12.1000,0.005921
12.2000,0.005324
12.3000,0.007946
12.4000,-0.000821
12.5000,-0.003737
12.6000,-0.010589
12.7000,-0.010108
12.8000,-0.006116
12.9000,0.001679
13.0000,0.004599
13.1000,0.014106
13.2000,0.024360
13.3000,0.006271
13.4000,0.002447
13.5000,-0.000157
13.6000,-0.005201
13.7000,-0.003557
13.8000,-0.001232
13.9000,-0.017045
14.0000,0.000604
14.1000,-0.000411
14.2000,-0.000677
14.3000,0.013419
14.4000,0.001291
14.5000,0.012347
14.6000,0.008620
14.7000,0.002013
14.8000,-0.005509
14.9000,-0.001135
15.0000,-0.007900
15.1000,-0.007546
15.2000,-0.016105
15.3000,-0.014165
15.4000,-0.009790
15.5000,-0.007211
15.6000,0.000101
15.7000,0.000238
15.8000,-0.000921
15.9000,0.000562
16.0000,0.007378
16.1000,0.005844
16.2000,-0.006406
16.3000,0.004603
16.4000,-0.012878
16.5000,-0.009445
16.6000,-0.011568
16.7000,0.002774
16.8000,0.002840
16.9000,0.006888
17.0000,0.010274
17.1000,-0.002800
17.2000,-0.002976
17.3000,-0.012269
17.4000,0.000815
17.5000,0.002518
17.6000,0.002050
17.7000,0.013303
17.8000,0.012385
17.9000,-0.002546
18.0000,-0.005174
18.1000,0.004240
18.2000,0.001444
18.3000,-0.002952
18.4000,-0.001917
18.5000,-0.003879
18.6000,0.000298
18.7000,-0.005082
18.8000,0.001980
18.9000,0.000712
19.0000,0.003633
19.1000,0.010552
19.2000,0.005320
19.3000,0.009920
19.4000,-0.002515
19.5000,-0.012398
19.6000,-0.003357
19.7000,-0.007153
19.8000,-0.000267
19.9000,-0.001748
20.0000,0.000053
20.1000,-0.006946
20.2000,0.008436
20.3000,0.001674
20.4000,0.004337
20.5000,0.002855
20.6000,0.002748
20.7000,0.001238
20.8000,-0.000029
20.9000,-0.010565
21.0000,0.001126
21.1000,0.009886
21.2000,0.007231
21.3000,-0.006116
21.4000,0.001970
21.5000,0.011901
21.6000,0.010329
21.7000,0.004074
21.8000,-0.002961
21.9000,0.001693
22.0000,-0.007399
22.1000,0.001458
22.2000,-0.005206
22.3000,0.003751
22.4000,-0.012350
22.5000,0.003724
22.6000,0.007861
22.7000,-0.003007
22.8000,0.001050
22.9000,-0.011399
23.0000,0.006635
23.1000,0.000602
23.2000,0.010920
23.3000,0.006523
23.4000,0.001540
23.5000,-0.001865
23.6000,-0.004166
23.7000,-0.011190
23.8000,-0.000580
23.9000,-0.006762
24.0000,-0.001911
24.1000,0.000105
24.2000,-0.001245
24.3000,0.004591
24.4000,0.009955
24.5000,-0.011993
24.6000,-0.022553
24.7000,-0.022553
24.8000,-0.007094
24.9000,-0.015912
25.0000,-0.034928
25.1000,-0.039911
25.2000,-0.033291
25.3000,-0.012603
25.4000,-0.024828
25.5000,-0.025811
25.6000,-0.036521
25.7000,-0.027612
25.8000,-0.017113
25.9000,0.006005
26.0000,-0.005410
26.1000,-0.001236
26.2000,0.002791
26.3000,0.004314
26.4000,-0.001911
26.5000,0.002880
26.6000,-0.005341
26.7000,-0.002593
26.8000,-0.003910
26.9000,-0.019037
27.0000,-0.004463
27.1000,-0.003577
27.2000,-0.013010
27.3000,-0.007825
27.4000,0.009751
27.5000,0.003253
27.6000,-0.000089
27.7000,0.008124
27.8000,0.005560
27.9000,0.012937
28.0000,0.001997
28.1000,-0.006311
28.2000,-0.005565
28.3000,-0.012874
28.4000,-0.010038
28.5000,0.006273
28.6000,0.010819
28.7000,-0.001179
28.8000,0.005798
28.9000,-0.010419
29.0000,-0.009281
29.1000,0.011496
29.2000,0.012215
29.3000,0.009691
29.4000,0.000578
29.5000,0.001980
29.6000,-0.009629
29.7000,-0.015169
29.8000,-0.014766
29.9000,-0.005182
30.0000,-0.004307
30.1000,-0.011279
30.2000,0.007294
30.3000,0.011945
30.4000,0.017803
30.5000,0.014521
30.6000,0.011198
30.7000,0.002039
30.8000,-0.005808
30.9000,-0.009668
31.0000,-0.009156
31.1000,-0.004993
31.2000,0.004940
31.3000,-0.002063
31.4000,0.003619
31.5000,-0.004962
31.6000,0.003110
31.7000,-0.000590
31.8000,0.003233
31.9000,0.001850
32.0000,0.004684
32.1000,0.004830
32.2000,0.006380
32.3000,-0.003513
32.4000,-0.001977
32.5000,0.001281
32.6000,-0.004368
32.7000,-0.007899
32.8000,-0.001701
32.9000,-0.006459
33.0000,-0.005602
33.1000,0.007415
33.2000,0.009980
33.3000,-0.006208
33.4000,-0.008496
33.5000,-0.000980
33.6000,-0.002120
33.7000,0.001265
33.8000,0.003189
33.9000,-0.012216
34.0000,-0.000119
34.1000,0.011256
34.2000,0.006060
34.3000,0.002581
34.4000,-0.004733
34.5000,0.006906
34.6000,0.007220
34.7000,0.008351
34.8000,0.003637
34.9000,-0.002346
35.0000,-0.006470
35.1000,-0.002254
35.2000,0.011467
35.3000,0.007833
35.4000,-0.003391
35.5000,-0.000755
35.6000,-0.013444
35.7000,0.000248
35.8000,-0.013990
35.9000,-0.000239
36.0000,-0.004426
36.1000,-0.000604
36.2000,0.000746
36.3000,0.007048
36.4000,0.007343
36.5000,-0.001892
36.6000,0.009696
36.7000,0.004961
36.8000,0.012674
36.9000,0.001128
37.0000,0.004493
37.1000,0.007837
37.2000,-0.001581
37.3000,-0.006851
37.4000,0.002131
37.5000,-0.005096
37.6000,0.003554
37.7000,0.007513
37.8000,0.007626
37.9000,-0.006827
38.0000,-0.008289
38.1000,-0.010190
